"personId";"competitionId";"start_date";"7avg";"6avg"
"2008WOJT01";"Poland2009";"2009-02-21";"39263";"26708"
"2005AKKE01";"BeneluxOpen2009";"2009-02-21";"30198";"21007"
"2003BRUC01";"BeneluxOpen2009";"2009-02-21";"50595";"31518"
"2007LEMO01";"BeneluxOpen2009";"2009-02-21";"48464";"38138"
"2008SMIT04";"BeneluxOpen2009";"2009-02-21";"41601";"27008"
"2006GALE01";"BeneluxOpen2009";"2009-02-21";"43086";"29123"
"2008ZIEL01";"Poland2009";"2009-02-21";"30560";"19658"
"2008COUR01";"BeneluxOpen2009";"2009-02-21";"56139";"44466"
"2008CABA03";"Poland2009";"2009-02-21";"39624";"23945"
"2008AURO01";"BeneluxOpen2009";"2009-02-21";"43442";"27903"
"2007VALK01";"BeneluxOpen2009";"2009-02-21";"39037";"22970"
"2007JIPT01";"BeneluxOpen2009";"2009-02-21";"50489";"37687"
"2003DENN01";"BeneluxOpen2009";"2009-02-21";"72200";"47153"
"2006COLL01";"BeneluxOpen2009";"2009-02-21";"34520";"28156"
"2007KRIJ01";"BeneluxOpen2009";"2009-02-21";"56127";"41923"
"2006HALC01";"Poland2009";"2009-02-21";"24199";"15925"
"2008DIEW01";"BeneluxOpen2009";"2009-02-21";"54006";"38078"
"2008VIRO01";"BelgianOpen2009";"2009-02-28";"36434";"32554"
"2006COLL01";"BelgianOpen2009";"2009-02-28";"37435";"29487"
"2006GALE01";"BelgianOpen2009";"2009-02-28";"43740";"29953"
"2008HANK01";"BelgianOpen2009";"2009-02-28";"34875";"46192"
"2005AKKE01";"BelgianOpen2009";"2009-02-28";"30271";"20169"
"2007COHE01";"FortLeeWinter2009";"2009-03-07";"26265";"16580"
"2007JAME01";"FortLeeWinter2009";"2009-03-07";"32616";"21445"
"2007VALL01";"FrenchOpen2009";"2009-03-14";"31705";"21374"
"2008NUNE01";"FrenchOpen2009";"2009-03-14";"44569";"27819"
"2008VIRO01";"FrenchOpen2009";"2009-03-14";"36573";"26810"
"2007VALK01";"FrenchOpen2009";"2009-03-14";"43102";"24245"
"2007COOP01";"FrenchOpen2009";"2009-03-14";"53641";"39034"
"2007LEMO01";"FrenchOpen2009";"2009-03-14";"48094";"34595"
"2007PERG01";"FrenchOpen2009";"2009-03-14";"37747";"28282"
"2007BERN01";"FrenchOpen2009";"2009-03-14";"36204";"22860"
